#29 args remaining, starting with 'Waze01.pcapng'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#Running file 'Waze01.pcapng' (1 of 29)
#Running file 'Waze02.pcapng' (2 of 29)
#Running file 'Waze03.pcapng' (3 of 29)
#Running file 'Waze04.pcapng' (4 of 29)
#Running file 'Waze05.pcapng' (5 of 29)
#Running file 'Waze06.pcapng' (6 of 29)
#Running file 'Waze07.pcapng' (7 of 29)
#Running file 'Waze08.pcapng' (8 of 29)
#Running file 'Waze09.pcapng' (9 of 29)
#Running file 'Waze10.pcapng' (10 of 29)
#Running file 'Waze11.pcapng' (11 of 29)
#Running file 'Waze12.pcapng' (12 of 29)
#Running file 'Waze13.pcapng' (13 of 29)
#Running file 'Waze14.pcapng' (14 of 29)
#Running file 'Waze15.pcapng' (15 of 29)
#Running file 'Waze16.pcapng' (16 of 29)
#Running file 'Waze17.pcapng' (17 of 29)
#Running file 'Waze18.pcapng' (18 of 29)
#Running file 'Waze19.pcapng' (19 of 29)
#Running file 'Waze20.pcapng' (20 of 29)
#Running file 'Waze21.pcapng' (21 of 29)
#Running file 'Waze22.pcapng' (22 of 29)
#Running file 'Waze23.pcapng' (23 of 29)
#Running file 'Waze24.pcapng' (24 of 29)
#Running file 'Waze25.pcapng' (25 of 29)
#Running file 'Waze26.pcapng' (26 of 29)
#Running file 'Waze28.pcapng' (27 of 29)
#Running file 'Waze29.pcapng' (28 of 29)
#Running file 'Waze30.pcapng' (29 of 29)
#3478 packets seen, 3328 TCP packets traced
#elapsed wallclock time: 0:00:00.835537, 4162 pkts/sec analyzed
#trace files elapsed time: 0:10:39.214665
#TCP connection info:
#167 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,edge-star-shv-01-dft4.facebook.com,45592,443,1492102974.650199 , 1492102978.780157 ,             13,             12,              0,              0,             12,             12,              8,              4,              2,              0,              2,              0,              1,              0,            733,           4772,              4,              7,            917,           6867,              1,              2,            184,           2095,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1410,            423,           1398,            126,            258,            229,            980,         101632,          30208,          87616,          29184,              0,              0,          94149,          29370,            184,           3493,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          3.409,          3.042,       635084.7,       635144.4,              0,              0,            177,           1155,
2,192.168.2.3,ec2-54-83-184-234.compute-1.amazonaws.com,34263,443,1492102974.813556 , 1492102978.628451 ,              8,              7,              0,              0,              7,              7,              4,              3,              0,              1,              0,              1,              0,              1,            263,           2702,              3,              3,            392,           2702,              1,              0,            129,              0,              0,              0,              0,              0,              0,              0,              3,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            130,            900,          93440,          29184,          87616,          28160,              0,              0,          90523,          28501,            129,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.428,          0.488,       635236.4,       635272.3,              0,              0,             69,            708,
3,192.168.2.3,ec2-54-83-184-234.compute-1.amazonaws.com,34264,443,1492102974.813566 , 1492102978.628453 ,              8,              7,              0,              0,              7,              7,              4,              3,              0,              1,              0,              1,              0,              1,            263,           2702,              3,              3,            392,           2702,              1,              0,            129,              0,              0,              0,              0,              0,              0,              0,              3,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            130,            900,          93440,          31488,          87616,          30464,              0,              0,          90523,          30805,            129,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.456,          0.483,       635236.4,       635272.3,              0,              0,             69,            708,
4,192.168.2.3,ec2-54-83-184-234.compute-1.amazonaws.com,34265,443,1492102974.813577 , 1492102978.628448 ,              8,              7,              0,              0,              7,              7,              4,              3,              0,              1,              0,              1,              0,              1,            263,           2702,              3,              3,            392,           2702,              1,              0,            129,              0,              0,              0,              0,              0,              0,              0,              3,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            130,            900,          93440,          31488,          87616,          30464,              0,              0,          90523,          30805,            129,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.447,          0.486,       635236.4,       635272.3,              0,              0,             69,            708,
5,192.168.2.3,ec2-52-202-7-20.compute-1.amazonaws.com,40357,443,1492102974.813579 , 1492102978.628438 ,              8,              7,              0,              0,              7,              7,              4,              3,              0,              1,              0,              1,              0,              1,            266,           2702,              3,              3,            398,           2702,              1,              0,            132,              0,              0,              0,              0,              0,              0,              0,              3,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            134,           1448,            132,             59,            132,            900,          93440,          29184,          87616,          28160,              0,              0,          90523,          28501,            132,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.447,          0.484,       635236.4,       635272.4,              0,              0,             70,            708,
6,192.168.2.3,server-54-230-7-190.dfw3.r.cloudfront.net,51402,emwavemsg,1492102974.821290 , 1492103377.924609 ,            161,            199,              0,              1,            160,            198,            152,              3,             46,              1,              0,              1,              1,              1,           1716,         220090,              7,            194,           2002,         279456,              1,             41,            286,          59366,              0,              0,              0,              0,              0,              1,              7,              6,            1/1,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,             46,              1,              0,              0,              0,              0,           1460,           1460,            286,           1448,            286,            605,            285,           1440,         394624,          34560,          87616,          30208,              0,              0,         284902,          31763,            286,          36200,              1,             25,           1716,             NA,              0,             NA,              0,              0,              0,              0,        402.417,        186.256,       215474.9,       215514.8,              0,              0,              4,            546,
7,192.168.2.3,server-216-137-43-230.dfw3.r.cloudfront.net,39337,443,1492102975.167020 , 1492102978.780167 ,              9,              6,              0,              0,              7,              6,              5,              1,              2,              0,              2,              0,              1,              0,            274,           2619,              2,              2,            274,           2619,              1,              2,              1,              2,              0,              0,              0,              0,              0,              0,              2,              1,            2/0,            3/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1460,            140,           1448,            134,           1171,            136,           1308,          93440,          30208,          87616,          30208,              0,              0,          89691,          30208,            140,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.927,          0.250,       635084.7,       635144.3,              0,              0,             76,            725,
8,192.168.2.3,ec2-54-235-136-44.compute-1.amazonaws.com,53390,443,1492102977.768247 , 1492102978.601664 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            328,           2645,              2,              2,            328,           2645,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              1,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            202,           1448,            126,           1197,            163,           1321,          93440,          28160,          87616,          28160,              0,              0,          90521,          28160,            202,           2645,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.325,          0.000,       635263.2,       635270.8,              0,              0,            394,           3174,
9,192.168.2.3,ec2-54-235-136-44.compute-1.amazonaws.com,53391,443,1492102977.891958 , 1492102978.471171 ,              2,              1,              0,              0,              1,              1,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,              0,              0,              0,              0,              0,              0,          87616,          26847,          87616,          26847,              0,              0,          43808,          26847,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,       635393.7,       635394.8,              0,              0,              0,              0,
